00:04:39.351 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
00:04:39.357 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=YpkcjzmELw4TqeFFpk23, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=hemach_6bkmpf, BROWSERSTACK_FRAMEWORK=testng, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStack Sample, BROWSERSTACK_SOURCE=testng:eclipse:v1.0.8]
00:04:39.365 [Worker-48: Launching mavenrun-37800a9c-155a-42ec-bcd6-ac49e26c9fb8] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
00:05:05.974 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
00:05:05.974 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:05:05.975 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Browserstack
00:05:05.975 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
00:05:05.975 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:05:05.976 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Browserstack
00:07:11.207 [Worker-65: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
00:07:11.210 [Worker-65: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:07:11.211 [Worker-65: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
00:07:11.218 [Worker-65: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
00:08:55.465 [Worker-69: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
00:08:55.466 [Worker-69: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:08:55.467 [Worker-69: Launching TestBrowserstack] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
